id,title,description,availibility,condition,price,link,image_link,BRAND,category,sub-category,length,colour,pattern,fit
10,Stay Committed Dress In Red Floral,"Make a bold statement with the Stay Committed Dress in Red Floral. The vibrant red color and floral pattern, along with its flattering silhouette, exude confidence and style.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1010,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rotonight_is_ours_dress_in_red_floral.jpg?v=1586240911,Netcore,Dresses,dress,midi,red,floral,slit
11,Straight Lines Dress In Green Floral,Embrace a fresh and vibrant look with the Straight Lines Dress in Green Floral. The green color and geometric floral pattern create a modern and chic ensemble.,in stock,new,51 USD,https://netcoredemo.myshopify.com/collections/dress/products/1011,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rostraight_lines_dress_in_green_floral.jpg?v=1586240912,Netcore,Dresses,dress,midi,green,floral,slit
12,Elite Class Dress In Mustard Floral,"Elevate your style with the Elite Class Dress in Mustard Floral. The mustard color and floral details, combined with its elegant design, make it perfect for any special occasion.",in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1012,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roelite_class_dress_in_mustard_floral.jpg?v=1586240914,Netcore,Dresses,dress,midi,yellow,floral,slit
13,Can I Call You Dress In Black Print,Make a stylish statement with the Can I Call You Dress in Black Print. The black color and unique print add a touch of sophistication to this fashionable dress.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1013,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.8.30__2740.jpg?v=1586240915,Netcore,Dresses,dress,midi,black,floral,Comfortable
14,Toss The Dice Dress In Blue Floral,"Stand out from the crowd with the Toss The Dice Dress in Blue Floral. The blue color and floral print, along with its playful design, create a fun and trendy look.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1014,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tntoss_the_dice_dress_in_blue_floral.jpg?v=1586240917,Netcore,Dresses,dress,midi,blue,floral,Comfortable
15,Its Under Control Dress In White Floral,"Embrace effortless style with the Its Under Control Dress in White Floral. The white color and floral pattern, paired with its relaxed fit, make it a versatile and comfortable choice.",in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1015,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/its_under_control_dress_in_white_floral_ro.jpg?v=1586240920,Netcore,Dresses,dress,midi,white,floral,Comfortable
16,Grand Entrance Dress In Rose Floral,"Make a grand entrance with the Grand Entrance Dress in Rose Floral. The rose color and floral details, along with its elegant silhouette, create a captivating and glamorous look.",in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1016,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_grand_entrance_dress_in_rose_floral.jpg?v=1586240922,Netcore,Dresses,dress,midi,white,floral,tight
17,Can We Just Talk Dress In Black Floral Lace,Make a statement with the Can We Just Talk Dress in Black Floral Lace. The black color and intricate floral lace add a touch of romance and sophistication to this dress.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1017,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_can_we_just_talk_dress_in_black_floral_lace.jpg?v=1586240924,Netcore,Dresses,dress,midi,black,floral,tight
18,Great Storyteller Dress In Mustard Floral,"Tell your own fashion story with the Great Storyteller Dress in Mustard Floral. The mustard color and floral print, combined with its flattering design, create a stylish and memorable ensemble.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1018,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_great_storyteller_dress_in_mustard_floral.jpg?v=1586240926,Netcore,Dresses,dress,midi,yellow,floral,tight
19,Full Of Control Dress In Red Spot,Take charge of your style with the Full Of Control Dress in Red Spot. The red polka dot print and flattering silhouette create a playful and confident look.,in stock,new,47 USD,https://netcoredemo.myshopify.com/collections/dress/products/1019,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_full_control_dress_in_red_floral.jpg?v=1586240929,Netcore,Dresses,dress,midi,red,floral,Comfortable
20,Ladys Orchid Dress In Green Floral,Embrace natural beauty with the Ladys Orchid Dress in Green Floral. The green color and delicate floral pattern evoke a sense of elegance and grace.,in stock,new,50 USD,https://netcoredemo.myshopify.com/collections/dress/products/1020,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roladys_orchid_dress_in_green_floral.jpg?v=1586240931,Netcore,Dresses,dress,mini,green,floral,tight
21,Making Promises Dress In White Floral,"Make a promise to stand out in the Making Promises Dress in White Floral. The white color and floral details, combined with its feminine design, make it a charming and versatile choice.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1021,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_making_promises_dress_in_white_floral.jpg?v=1586240933,Netcore,Dresses,dress,mini,white,floral,tight
22,You're A Mystery Dress In Red Floral,"Unleash your inner mystique with the You're A Mystery Dress in Red Floral. The red color and floral print, along with its alluring style, create an enigmatic and captivating ensemble.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1022,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/royou_re_a_mystery_dress_in_red_floral.jpg?v=1586240935,Netcore,Dresses,dress,mini,red,floral,tight
23,Endless Stories Dress In Navy Floral,"Tell endless stories of fashion with the Endless Stories Dress in Navy Floral. The navy color and floral pattern, paired with its timeless design, make it a wardrobe staple for any occasion.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1023,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_-_endless_stories_dress_in_navy_floral.jpg?v=1586240937,Netcore,Dresses,dress,mini,blue,floral,slit
24,Its Too Late Dress In Emerald Jacquard,Make a fashion statement with the Its Too Late Dress in Emerald Jacquard. The emerald color and jacquard fabric add a touch of luxury and sophistication to this elegant dress.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1024,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_its_too_late_dress_in_emerald_jacquard.jpg?v=1586240940,Netcore,Dresses,dress,mini,green,floral,slit
25,Back To The Ocean Dress In White Print,Dive back into style with the Back To The Ocean Dress in White Print. The white color and ocean-inspired print create a refreshing and beachy look.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1025,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnback_to_the_ocean_dress_in_white_print.jpg?v=1586240942,Netcore,Dresses,dress,mini,white,floral,slit
26,Find An Island Dress In Blue Floral,"Discover your own island paradise with the Find An Island Dress in Blue Floral. The blue color and tropical floral pattern, along with its relaxed design, evoke a sense of wanderlust and relaxation.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1026,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnfind_an_island_dress_in_blue_floral.jpg?v=1586240945,Netcore,Dresses,dress,mini,blue,floral,tight
27,Nothing But Normal Dress In Mustard Print,Embrace your uniqueness with the Nothing But Normal Dress in Mustard Print. The mustard color and abstract print make it a standout piece that celebrates individuality.,in stock,new,33 USD,https://netcoredemo.myshopify.com/collections/dress/products/1027,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/nothing_but_normal_dress_in_mustard_print_ro.jpg?v=1586240947,Netcore,Dresses,dress,mini,yellow,floral,Comfortable
28,Falling For It Dress In Black Floral,"Fall head over heels for the Falling For It Dress in Black Floral. The black color and floral print, combined with its flirty design, create a romantic and chic ensemble.",in stock,new,31 USD,https://netcoredemo.myshopify.com/collections/dress/products/1028,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.8.30__2675.jpg?v=1586240950,Netcore,Dresses,dress,mini,black,floral,Comfortable
29,Dreaming About You Dress In Red Floral,"Drift away into fashion dreams with the Dreaming About You Dress in Red Floral. The red color and floral pattern, along with its whimsical style, create a charming and feminine look.",in stock,new,29 USD,https://netcoredemo.myshopify.com/collections/dress/products/1029,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_-_dreaming_about_you_dress_in_red_1.jpg?v=1586240952,Netcore,Dresses,dress,mini,red,floral,Comfortable
30,We Got This Feeling Dress In Navy,Embrace a sense of adventure with the We Got This Feeling Dress in Navy. The navy color and versatile design make it a go-to option for any casual or dressy occasion.,in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1030,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/got_a_feeling_dress_in_navy_1.jpg?v=1586240955,Netcore,Dresses,dress,maxi,blue,solid,slit
31,Ibiza Sunset Dress In Black,Capture the essence of the vibrant Ibiza sunset with this stunning black dress. Perfect for a night out or a special occasion.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1031,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roibiza_sunset_dress_in_black.jpg?v=1586240957,Netcore,Dresses,dress,maxi,black,solid,slit
32,Fairy Tale Gown In White,Indulge in your own fairy tale with this enchanting white gown. Perfect for a romantic evening or a formal event.,in stock,new,23 USD,https://netcoredemo.myshopify.com/collections/dress/products/1032,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rofairy_tale_gown_in_white_1.jpg?v=1586240960,Netcore,Dresses,dress,maxi,white,solid,slit
33,Glamour Girl Maxi Dress In Black,Make a glamorous statement with this black maxi dress. Perfect for a red carpet event or a sophisticated night out.,in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1033,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnglamour_girl_maxi_dress_in_black.jpg?v=1586240963,Netcore,Dresses,dress,maxi,black,solid,slit
34,Light The Way Dress In Wine Satin,Illuminate the room with your presence in this wine satin dress. Perfect for a formal occasion or a night on the town.,in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1034,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/light_the_way_dress_in_wine_satin_4.jpg?v=1586240965,Netcore,Dresses,dress,maxi,red,solid,Comfortable
35,Making Fun Dress In Navy,Express your playful side with this navy dress. Perfect for a casual gathering or a daytime event.,in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1035,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnmaking_fun_dress_in_navy.jpg?v=1586240968,Netcore,Dresses,dress,maxi,blue,solid,Comfortable
36,Good For The Soul Dress In White,Embrace purity and grace with this white dress. Ideal for a summer event or a special occasion.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1036,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro-_8.jpg?v=1586240970,Netcore,Dresses,dress,maxi,white,solid,Comfortable
37,Already Home Dress In Emerald,Feel comfortable and chic with this emerald dress. Perfect for a relaxed yet stylish look.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1037,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_already_home_dress_in_emerald.jpg?v=1586240972,Netcore,Dresses,dress,maxi,green,solid,tight
38,Lasting Moment Maxi Dress In Wine,Create unforgettable moments with this wine maxi dress. Ideal for special events or evening occasions.,in stock,new,43 USD,https://netcoredemo.myshopify.com/collections/dress/products/1038,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/lasting_moment_maxi_dress_in_wine_tn.jpg?v=1586240975,Netcore,Dresses,dress,maxi,red,solid,tight
39,Lasting Moment Dress In Navy,"Make a lasting impression with this navy dress. Perfect for various occasions, from parties to dinner dates.",in stock,new,43 USD,https://netcoredemo.myshopify.com/collections/dress/products/1039,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnlasting_moment_dress_in_navy.jpg?v=1586240977,Netcore,Dresses,dress,maxi,blue,solid,tight
40,Absorb The Light Dress In Black,Stand out in this black dress that absorbs the light. Perfect for a night out or a glamorous event.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1040,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_-_absorb_the_light_dress_in_black.jpg?v=1586240980,Netcore,Dresses,dress,midi,black,solid,tight
41,Turn To You Dress In Emerald,This emerald dress is a true showstopper. Turn heads and make a statement with this elegant and vibrant piece.,in stock,new,37 USD,https://netcoredemo.myshopify.com/collections/dress/products/1041,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/roturn_to_you_dress_in_emerald.jpg?v=1586240983,Netcore,Dresses,dress,midi,green,solid,tight
42,Commit To Me Maxi Dress In Red,Make a bold commitment to style with this stunning red maxi dress. Perfect for formal occasions or a memorable night on the town.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1042,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tncommit_to_me_maxi_dress_in_red.jpg?v=1586240986,Netcore,Dresses,dress,midi,red,solid,tight
43,Life Changing Dress In Emerald Green,Experience a life-changing fashion moment with this stunning emerald green dress. Its captivating color and elegant design will leave you feeling empowered and confident. Perfect for special occasions or a night out.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1043,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/life_changing_dress_in_emerald_green_tn.jpg?v=1586240989,Netcore,Dresses,dress,midi,green,solid,slit
44,Moving Parts Two Piece Set In Mango,Embrace a vibrant and playful style with this two-piece set in mango. The unique design and lively color will make you stand out from the crowd. Perfect for a summer event or a fun-filled day out.,in stock,new,21 USD,https://netcoredemo.myshopify.com/collections/dress/products/1044,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_moving_parts_two_piece_set_in_mango.jpg?v=1586240991,Netcore,Dresses,dress,midi,yellow,solid,slit
45,Enjoy The Moment Dress In Black,Live in the moment with this chic black dress. Its timeless appeal and flattering silhouette make it a versatile choice for various occasions. Dress it up or down and savor every moment in style.,in stock,new,50 USD,https://netcoredemo.myshopify.com/collections/dress/products/1045,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/enjoy_the_moment_dress_in_black_tn.jpg?v=1586240994,Netcore,Dresses,dress,midi,black,solid,slit
46,Mini Love Dress In White,Embody love and sweetness with this adorable white mini dress. Its charming details and youthful silhouette make it perfect for a date night or a casual daytime outing.,in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1046,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/mini_love_dress_in_white.jpg?v=1586240996,Netcore,Dresses,dress,midi,white,solid,slit
47,Nothing But Hope Dress In White,Embrace hope and optimism with this white dress. Its clean lines and minimalistic design symbolize a fresh start and endless possibilities. Wear it with confidence and let your positivity shine through.,in stock,new,60 USD,https://netcoredemo.myshopify.com/collections/dress/products/1047,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_nothing_but_hope_dress.jpg?v=1586240999,Netcore,Dresses,dress,midi,white,solid,Comfortable
48,Wild Vibes Dress In Rust,"Unleash your wild side with this rust-colored dress. Its bohemian-inspired vibe and flowing silhouette evoke a sense of adventure and freedom. Perfect for music festivals, beach parties, or summer adventures.",in stock,new,38 USD,https://netcoredemo.myshopify.com/collections/dress/products/1048,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnwild_vibes_dress_in_rust.jpg?v=1586241002,Netcore,Dresses,dress,midi,red,solid,Comfortable
49,Wild Nights Dress In Wine,"Make a statement with this wine-colored dress that embodies the allure of wild nights. Its bold color, elegant design, and figure-flattering silhouette are perfect for evening events or a night on the town.",in stock,new,70 USD,https://netcoredemo.myshopify.com/collections/dress/products/1049,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rowild_nights_dress_in_wine.jpg?v=1586241003,Netcore,Dresses,dress,midi,red,solid,Comfortable
50,Feels Like Love Dress In Forest Green,"Experience the magic of love with this forest green dress. Its romantic hue, delicate details, and feminine silhouette create an enchanting look that will make you feel truly loved and cherished. Perfect for special occasions or a romantic date night.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1050,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnfeels_like_love_dress_in_emerald.jpg?v=1586241006,Netcore,Dresses,dress,mini,green,solid,Comfortable
51,Act Natural Tiered Dress In White,"Embrace a carefree and effortless style with this tiered white dress. Its relaxed fit, airy fabric, and bohemian vibes make it perfect for a day at the beach, a summer picnic, or a casual outing with friends.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1051,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_-_act_natural_tiered_dress_in_white.jpg?v=1586241008,Netcore,Dresses,dress,mini,white,solid,Comfortable
52,Feeling Tropical Mini Dress In Yellow,"Get in a tropical state of mind with this vibrant yellow mini dress. Its cheerful color, playful design, and lightweight fabric make it an ideal choice for vacations, beach parties, or tropical-themed events.",in stock,new,47 USD,https://netcoredemo.myshopify.com/collections/dress/products/1052,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ro_-_feeling_tropical_mini_dress_dress_in_yellow.jpg?v=1586241011,Netcore,Dresses,dress,mini,yellow,solid,Comfortable
53,Let's Pretend Knot Front Dress In Yellow,"Embrace a playful and flirty style with this yellow dress featuring a knot front. Its sunny color, trendy design, and effortless charm make it perfect for summer outings, brunches, or a day spent with friends.",in stock,new,62 USD,https://netcoredemo.myshopify.com/collections/dress/products/1053,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnlet_s_pretend_knot_front_dress_in_yellow.jpg?v=1586241013,Netcore,Dresses,dress,mini,yellow,solid,tight
54,Still Feel It Dress In Green,"Stay connected to nature with this green dress. Its refreshing color, relaxed silhouette, and earthy vibes make it perfect for outdoor gatherings, garden parties, or simply enjoying the beauty of the natural world.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1054,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rostill_feel_it_dress_in_green.jpg?v=1586241016,Netcore,Dresses,dress,mini,green,solid,tight
55,Not Your Basic Dress In Yellow,"Stand out from the crowd with this yellow dress that is anything but basic. Its unique design, vibrant color, and confident flair make it a bold choice for those who want to make a fashion statement.",in stock,new,26 USD,https://netcoredemo.myshopify.com/collections/dress/products/1055,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/us_not_your_basic_dress_in_yellowtn.jpg?v=1586241019,Netcore,Dresses,dress,mini,yellow,solid,tight
56,Look Like This Dress In Teal Satin,"Turn heads and exude elegance with this teal satin dress. Its luxurious fabric, flattering fit, and captivating color create a sophisticated look that is perfect for formal events or a glamorous night out.",in stock,new,33 USD,https://netcoredemo.myshopify.com/collections/dress/products/1056,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/look_like_this_dress_in_teal_satin_1.jpg?v=1586241021,Netcore,Dresses,dress,mini,blue,solid,tight
57,Stacy Dress In Mint,"Step into elegance with the Stacy Dress in Mint. This beautiful dress features a refreshing mint color and a stylish design, perfect for a classy and sophisticated look. Ideal for formal occasions or special events.",in stock,new,39 USD,https://netcoredemo.myshopify.com/collections/dress/products/1057,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnstacy_dress_in_mint.jpg?v=1586241024,Netcore,Dresses,dress,mini,green,solid,slit
58,Electric Babe Dress In Lemon,Embrace your vibrant side with the Electric Babe Dress in Lemon. The eye-catching lemon color and playful design make this dress a standout choice for fun-filled outings and summer parties. Get ready to make a bold fashion statement.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1058,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.12.6_560.jpg?v=1586241027,Netcore,Dresses,dress,mini,yellow,solid,slit
59,My Love Is Yours Dress In Black Satin,Indulge in romance with the My Love Is Yours Dress in Black Satin. The luxurious black satin fabric and alluring design create a captivating look that's perfect for a glamorous evening affair or a special date night.,in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1059,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/romy_love_is_yours_dress_in_black.jpg?v=1586241030,Netcore,Dresses,dress,mini,black,solid,slit
60,Never Looked Better Dress In Yellow,Elevate your style with the Never Looked Better Dress in Yellow. The vibrant yellow color and flattering silhouette combine to create a chic and confident look that will make you shine. Perfect for a variety of occasions.,in stock,new,29 USD,https://netcoredemo.myshopify.com/collections/dress/products/1060,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnnever_looked_better_dress_in_yellow.jpg?v=1586241032,Netcore,Dresses,dress,mini,yellow,solid,Comfortable
61,Tropical Scenes Dress In Yellow Floral,"Embrace the beauty of tropical vibes with the Tropical Scenes Dress in Yellow Floral. The lively yellow color and vibrant floral pattern create a fresh and summery look, perfect for beach vacations, garden parties, or casual outings.",in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1061,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/rotropical_scenes_dress_in_yellow_floral.jpg?v=1586241035,Netcore,Dresses,dress,midi,yellow,floral,slit
62,Turn Back Dress In Emerald,"Make a statement with the Turn Back Dress in Emerald. The rich emerald green color and stylish design exude elegance and sophistication, making it a perfect choice for formal events or special occasions.",in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1062,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/i_hope_i_never_dress_in_emerald_green_tn.jpg?v=1586241038,Netcore,Dresses,dress,maxi,green,solid,slit
63,Crossing Borders Dress In Green Floral,"Embrace a bohemian-inspired look with the Crossing Borders Dress in Green Floral. The charming green floral print and flowing silhouette create a whimsical and free-spirited style, ideal for embracing your wanderlust and exploring new horizons.",in stock,new,55 USD,https://netcoredemo.myshopify.com/collections/dress/products/1063,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tncrossing_borders_dress_in_green_floral01.jpg?v=1586241041,Netcore,Dresses,dress,mini,green,floral,Comfortable
64,Women Yellow Self Design Bodycon Dress,Flaunt your curves with confidence in the Women Yellow Self Design Bodycon Dress. The body-hugging fit and stylish self-design pattern create a sleek and fashionable look that's perfect for a night out or a glamorous event.,in stock,new,12 USD,https://netcoredemo.myshopify.com/collections/dress/products/1064,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/14e2638c-bf5f-41d2-a2f2-5704060493461557211442376-FOREVER-21-Women-Dresses-4631557211441297-1.jpg?v=1586241043,Netcore,Dresses,dress,midi,yellow,solid,tight
65,Living Your Best Life Dress In Wine,Live your best life with the Living Your Best Life Dress in Wine. The deep wine color and sophisticated design make this dress a must-have for elegant evenings and upscale events. Get ready to make a lasting impression.,in stock,new,35 USD,https://netcoredemo.myshopify.com/collections/dress/products/1065,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.8.2__2626.jpg?v=1586241046,Netcore,Dresses,dress,maxi,red,solid,tight
66,Why I Love You Dress In Black Satin Print,Embody elegance and allure with the Why I Love You Dress in Black Satin Print. The exquisite black satin fabric and captivating print create a mesmerizing look that's perfect for special occasions or a night on the town.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1066,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_why_i_love_you_dress_in_black_sat.jpg?v=1586241048,Netcore,Dresses,dress,maxi,blue,polka,slit
67,Spot Me If You Wish Dress In Mustard Spot,Stand out from the crowd with the Spot Me If You Wish Dress in Mustard Spot. The playful mustard color and charming spot print make this dress a fun and stylish choice for casual outings or daytime events.,in stock,new,65 USD,https://netcoredemo.myshopify.com/collections/dress/products/1067,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnspot_me_if_you_wish_dress_in_mustard_spot_1.jpg?v=1586241051,Netcore,Dresses,dress,maxi,yellow,polka,slit
